Stock,Trend,Long Term Trend,Volume,Hundreds,RSI,Passes
WFC,-0.0698,0.3595,-0.0727,0,-0.09197130684633703,0.125
CS,-0.4448,-0.0232,0.2369,0,0.35555753746450103,0.1245
L,-0.0116,0.1718,0.0246,0,-0.06839027284550103,0.1164
BNS,-0.1079,0.2985,-0.1871,0,0.1116951229762706,0.1152
JNJ,-0.0513,-0.1059,0.0531,0,0.20621185992430213,0.1021
GBCI,0.4165,0.3847,-0.4708,0,-0.23373025705383155,0.0967
JPM,-0.2248,0.19,0.1874,0,-0.056477406533791186,0.0961
FE,0.173,0.0988,-0.154,0,-0.022079610503121128,0.0957
HMC,-0.2535,-0.1725,0.3564,0,0.15388033510614685,0.0843
CLR,-0.3488,0.6229,-0.4092,0,0.21892865723776134,0.0838
CASY,0.1677,-0.0222,0.1354,0,-0.19739548859036327,0.0835
VOD,0.2307,-0.2115,0.341,0,-0.2825471217589688,0.0777
HES,-0.4058,0.556,-0.3679,0,0.2878713171807885,0.0702
ET,-0.424,0.0288,0.0369,0,0.427517137027162,0.0692
FICO,-0.5192,-0.4588,0.6837,0,0.3623100659473095,0.068
VZ,-0.1617,-0.1186,0.1507,0,0.1765924352594288,0.047
MAT,0.561,0.2277,-0.4901,0,-0.2527808952442261,0.0458
ATVI,-0.8041,-0.4147,0.8374,0,0.42645970122409116,0.0451
ORCL,-0.1202,0.2728,-0.4465,0,0.33711143616894734,0.0432
TROW,-0.0249,-0.0162,-0.3666,0,0.44872881591449465,0.041
TAP,0.4581,-0.033,-0.2593,0,-0.12660887377114927,0.0392
VFC,0.4263,0.1535,-0.2609,0,-0.2986822290338098,0.0202
RBA,,,,0,,0.0
PSA,0.033,0.1462,-0.2135,0,0.02167888035311405,-0.0126
MDC,0.3128,0.0347,-0.0877,0,-0.27641367031573805,-0.0166
FB,0.4159,-0.3039,-0.1181,0,-0.018880026116915083,-0.025
BP,-0.3776,0.3968,-0.3126,0,0.2641867373336906,-0.0292
NOV,-0.6567,0.1954,-0.2726,0,0.6963393885544913,-0.0376
MRK,-0.2751,0.4078,-0.3857,0,0.2137883420739759,-0.0392
SBUX,-0.0019,-0.1089,-0.0094,0,0.08024275945557413,-0.04
PYPL,-0.7693,-0.6701,0.8138,0,0.5753597844558982,-0.0502
SKYW,0.1035,0.0133,-0.3399,0,0.17148961873621626,-0.0516
DB,-0.2498,0.0512,-0.0413,0,0.18544482822481978,-0.0545
PCAR,-0.0844,0.2802,-0.1915,0,-0.060198571393616174,-0.0559
ZNGA,-0.2596,-0.4017,0.0958,0,0.4943881738825342,-0.0711
MYGN,-0.4229,-0.3816,0.3431,0,0.36735540714084225,-0.094
MKC,0.213,-0.1552,0.2876,0,-0.4412811943998538,-0.0959
MCD,0.2637,0.1502,-0.3176,0,-0.19945953504805325,-0.1032
NKE,0.2622,0.2042,-0.3896,0,-0.20576947623351383,-0.129
CL,0.1418,0.0156,-0.2033,0,-0.10213490314856943,-0.148
SAVE,0.0739,-0.237,-0.1819,0,0.19502430069045773,-0.15
DOC,-0.261,0.0808,-0.443,0,0.4702651390518948,-0.1529
GILD,0.1972,-0.2042,0.4674,0,-0.6169611114834077,-0.1566
EMN,0.4267,0.1368,-0.285,0,-0.436395218042269,-0.1579
BCS,-0.2748,0.1957,-0.3271,0,0.247098149764994,-0.1591
SRE,-0.2884,-0.1511,0.2385,0,0.041889572600319,-0.1591
CCL,-0.3815,-0.2251,-0.1558,0,0.6012977946198725,-0.1611
BCE,-0.0576,-0.0012,-0.1528,0,0.042936377411358695,-0.1687
K,0.1285,-0.0356,-0.3668,0,0.09178794767030674,-0.1821
GS,-0.327,0.0287,0.1111,0,-7.509831648411236e-05,-0.1873
CMCSA,0.069,-0.3414,-0.1516,0,0.21316532966333446,-0.2108
ABBV,0.2584,0.1996,-0.445,0,-0.25376763456763873,-0.2408
HRB,0.187,-0.1517,0.166,0,-0.4435973578959016,-0.2423
CAKE,0.1869,-0.2152,-0.459,0,0.24091256412783935,-0.2464
